Is this a new page?,Route,Page Title,Template,Content Key,Theme,Data Source,Section-Pillar,Notes
,/expertise/account-based-marketing,Account-Based Marketing (ABM),expertise.topic,default:content,dark,content/expertise.ts,Demand & Growth,
,/expertise/analytics,Reporting Dashboards & Attribution,expertise.topic,default:content,dark,content/expertise.ts,Systems & Operations,
NEW PAGE,/expertise/competitive-intel,Competitive Intelligence & Positioning,expertise.topic,default:content,dark,content/expertise.ts,Strategy & Insights,
,/expertise/content-engagement,Content & Engagement,Uploaded_Expertise_ContentEngagement_v1,default:content,dark,content/expertise.ts,Content & Engagement,
,/expertise/content-marketing,Content Creation & Personalization,expertise.topic,default:content,dark,content/expertise.ts,Content & Engagement,
,/expertise/crm-management,CRM Management & Integration,expertise.topic,default:content,dark,content/expertise.ts,Systems & Operations,
,/expertise/customer-marketing,Customer Marketing & Journey Mapping,expertise.topic,default:content,dark,content/expertise.ts,Strategy & Insights,
,/expertise/data-governance,Data Governence & Audits,expertise.topic,default:content,dark,content/expertise.ts,Systems & Operations,
,/expertise/demand-generation,Demand Generation Campaigns,expertise.topic,expertise:demand-generation,dark,content/expertise.ts,Demand & Growth,
,/expertise/demand-growth,Demand & Growth,Uploaded_Expertise_DemandGrowth_v1,pillar:demand-growth,dark,content/expertise.ts,Demand & Growth,
,/expertise/event-marketing,Event & Tradeshow Management,expertise.topic,default:content,dark,content/expertise.ts,Content & Engagement,
,/expertise,Expertise,expertise.main,expertise:main,dark,content/expertise/main.ts,,
NEW PAGE,/expertise/lead-gen-scoring,Lead Generation & Scoring,expertise.topic,default:content,dark,content/expertise.ts,Demand & Growth,
NEW PAGE,/expertise/marketing-analytics-reporting,Marketing Analytics & Reporting,expertise.topic,expertise:marketing-analytics-reporting,dark,content/expertise.ts,Systems & Operations,
,/expertise/marketing-automation,Marketing Automation & Workflows,expertise.topic,expertise:marketing-automation,dark,content/expertise.ts,Systems & Operations,
,/expertise/martech-optimization,Tech Stack Optimization & Enablement,expertise.topic,default:content,dark,content/expertise.ts,Systems & Operations,
,/expertise/paid-advertising-sem,Paid Media & Funnel Optimization,expertise.topic,default:content,dark,content/expertise.ts,Demand & Growth,
,/expertise/product-marketing,Product Marketing,expertise.topic,default:content,dark,content/expertise.ts,Strategy & Insights,
NEW PAGE,/expertise/roi-analysis,ROI & Break-Even Analysis,expertise.topic,default:content,dark,content/expertise.ts,Strategy & Insights,
,/expertise/sales-enablement,Upsell/Cross-Sell Strategies,expertise.topic,default:content,dark,content/expertise.ts,Demand & Growth,
,/expertise/search-engine-optimization,Search Engine Optimization & Management (SEO & SEM),expertise.topic,default:content,dark,content/expertise.ts,Demand & Growth,
,/expertise/social-media-marketing,Social Media & Reputation Management,expertise.topic,default:content,dark,content/expertise.ts,Content & Engagement,
,/expertise/strategy,GTM Strategy,expertise.topic,expertise:gtm-strategy-development,dark,content/expertise.ts,Strategy & Insights,
,/expertise/strategy-insights,Strategy & Insights,expertise.category,pillar:strategy-insights,dark,content/expertise.ts,Strategy & Insights,
,/expertise/systems-operations,Systems & Operations,expertise.category,pillar:systems-operations,dark,content/expertise.ts,Systems & Operations,
NEW PAGE,/expertise/web-design-ui-ux,Responsive Web Design & UI/UX,expertise.topic,default:content,dark,content/expertise.ts,Content & Engagement,
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
