#,Category,Item,Your response,,,,,,,,,,
1,Content,"List all live routes that must work after refactor (e.g. `/`, `/expertise`, `/case-studies`, …).","/'
`/expertise`
'/industries
`/case-studies'
'/about
'/resume
'/blog
'/gallery",,,,,,,,,,
2,Content,"Confirm 4 pillar IDs and display names (content-engagement, demand-growth, strategy-insights, systems-operations).","Confirmed 4 pillar IDs.  All pages/routes listed below
./expertise/content-engagement
./expertise/demand-growth
./expertise/strategy-insights
./expertise/systems-operations",,,,,,,,,,
3,Content,Case studies: confirm canonical list and slugs (match current `/case-studies/`).,"- /case-studies/[slug]
The following will be the first set of Case Studies:
rev-ops-process-optimization-case-study.ts
sfdc-abm-campaign-launch-case-study.ts
events-tradeshows-marketing-strategy-case-study.ts
digital-transformation–marketo-integration-case-study.ts
healthcare-in-the-cloud-adoption-case-study.ts
financial-services-abm-study-case-study.ts
pipeline-growth-unified-abm-revops-architecture.ts
",,,,,,,,,,
4,Content,Industries: confirm the set of industries and slugs to keep.,"Title: AI & Machine Learning, [slug]:  ai-ml
Title: B2B SaaS | Software & Technology, [slug]:  b2b-saas
Title: Cybersecurity, [slug]:  cybersecurity
Title: Developer Tools & DevOps, [slug]:  developer-tools
Title: Energy & Utilities | Oil, Gas, Wind & Solar, [slug]:  energy-utilities
Title: Financial Services | Banking & Technology, [slug]:  financial-services
Title: Fleet & Logistics | Shipping & Distribution, [slug]:  fleet-management-logistics
Title: Healthcare & HLS Technology, [slug]:  healthcare
Title: Manufacturing | Discrete & Continuous, [slug]:  manufacturing
Title: Non-Profit (NGO) , [slug]:  non-profit 
Title: Public Sector & Government, [slug]:  pubsec-government
Title: Retail | In-Store & eCommerce, [slug]:  retail
Title: Supply Chain & Logistics, [slug]:  supply-chain-logistics
Title: B2B SaaS & Technology, [slug]:  technology-saas
Title: Education | K-12 & University, [slug]:  education-k12-university""""""",,,,,,,,,,
5,Content,Expertise topics: confirm `content/expertise/*` is the single source of truth.,"Confirmed.  All pages/routes listed below
----------------------------------
Title: Expertise, [slug]: /expertise
Title: Content & Engagement, [slug]: /expertise/content-engagement
Title: Content Creation & Personalization, [slug]: /expertise/content-marketing
Title: Event & Tradeshow Management, [slug]: /expertise/event-marketing
Title: Social Media & Reputation Management, [slug]: /expertise/social-media-marketing
Title: Search Engine Optimization & Management (SEO & SEM), [slug]: /expertise/search-engine-optimization
Title: Responsive Web Design & UI/UX, [slug]: /expertise/web-design-ui-ux
Title: Account-Based Marketing (ABM), [slug]: /expertise/account-based-marketing
Title: Demand Generation Campaigns, [slug]: /expertise/demand-generation
Title: Demand & Growth, [slug]: /expertise/demand-growth
Title: Lead Generation & Scoring, [slug]: /expertise/lead-gen-scoring
Title: Paid Media & Funnel Optimization, [slug]: /expertise/paid-advertising-sem
Title: Upsell/Cross-Sell Strategies, [slug]: /expertise/sales-enablement
Title: Competitive Intelligence & Positioning, [slug]: /expertise/competitive-intel
Title: Customer Marketing & Journey Mapping, [slug]: /expertise/customer-marketing
Title: Product Marketing, [slug]: /expertise/product-marketing
Title: ROI & Break-Even Analysis, [slug]: /expertise/roi-analysis
Title: GTM Strategy, [slug]: /expertise/strategy
Title: Strategy & Insights, [slug]: /expertise/strategy-insights
Title: Reporting Dashboards & Attribution, [slug]: /expertise/analytics
Title: CRM Management & Integration, [slug]: /expertise/crm-mangement
Title: Marketing Analytics & Reporting, [slug]: /expertise/marketing-analytics-reporting
Title: Marketing Automation & Workflows, [slug]: /expertise/marketing-automation
Title: Tech Stack Optimization & Enablement, [slug]: /expertise/martech-optimization
Title: Systems & Operations, [slug]: /expertise/systems-operations",,,,,,,,,,
6,Content,"For each template type, primary CTA text + URL (or “same as current”).","Same as current, however happy to read suggestions. ",,,,,,,,,,
7,Theming,"Pillar 1 (content-engagement): Blue/Yellow — confirm or give hex/names.
INCLUDED GRADIENTS AS WELL","    colors: {
                     gold: '#FFDB58',
              dark: '#0A1628',
              midDark: '#0D2137',
              light: '#FFFFFF',
              border: '#1E293B',

          fontFamily:
            sans: ['Inter', 'sans-serif'],
            heading: ['Outfit', 'sans-serif']


Gradient:
.grad-ce { background: linear-gradient(90deg, #FFDB58 0%, #E8A040 100%); -webkit-background-clip: text; -webkit-text-fill-color: transparent; }",,,,,,,,,,
8,Theming,"Pillar 2 (demand-growth): Blue/Green — confirm or give hex/names.
INCLUDED GRADIENTS AS WELL","  colors: {
                        ""primary"": ""#16a249"",
                        ""background-light"": ""#f6f8f7"",
                        ""background-dark"": ""#112117"",
                        ""navy-deep"": ""#0A1628"",
                        ""navy-card"": ""#0D2137"",
                        ""navy-section"": ""#112B3C"",

          fontFamily:
            sans: ['Inter', 'sans-serif'],
            heading: ['Outfit', 'sans-serif']


Gradient:
.grad-dg { background: linear-gradient(90deg, #16A34A 0%, #36C0CF 100%); -webkit-background-clip: text; -webkit-text-fill-color: transparent; }",,,,,,,,,,
9,Theming,"Pillar 3 (strategy-insights): White/Purple — confirm or give hex/names.
INCLUDED GRADIENTS AS WELL"," colors: {
                        ""primary"": ""#acd5f1"",
                        ""navy-deep"": ""#0A1628"",
                        ""navy-muted"": ""#0D2137"",
                        ""navy-accent"": ""#112B3C"",
                        ""background-light"": ""#F4F6F8"",
                        ""background-dark"": ""#121a20""

          fontFamily:
            sans: ['Inter', 'sans-serif'],
            heading: ['Outfit', 'sans-serif']


Gradient:
.grad-si { background: linear-gradient(90deg, #AED6F1 0%, #154360 100%); -webkit-background-clip: text; -webkit-text-fill-color: transparent; }",,,,,,,,,,
10,Theming,"Pillar 4 (systems-operations): Teal/Blue — confirm or give hex/names.
INCLUDED GRADIENTS AS WELL"," colors: {
                        ""primary"": ""#36C0CF"", // Electric Cyan
                        ""primary-hover"": ""#2eb1bf"",
                        ""accent-gold"": ""#FFD700"",
                        ""background-light"": ""#F4F6F8"",
                        ""background-dark"": ""#0A1628"",
                        ""background-card"": ""#0D2137"",
          fontFamily:
            sans: ['Inter', 'sans-serif'],
            heading: ['Outfit', 'sans-serif']


Gradient:
.grad-so { background: linear-gradient(90deg, #36C0CF 0%, #16A34A 100%); -webkit-background-clip: text; -webkit-text-fill-color: transparent; }",,,,,,,,,,
